machine_type,vibration_mm_s,motor_current_A,gearbox_temperature_C,belt_speed_mps,load_kg,belt_alignment_mm,active_failure,status
conveyor,3.4,8.91,59.83,1.26,130.95,11.43,belt_misalignment,fault
conveyor,2.61,16.01,64.94,0.63,511.81,7.35,jam,fault
conveyor,2.34,11.6,55.7,0.63,168.96,6.84,belt_slip,warning
conveyor,0.92,6.45,39.22,1.56,208.44,2.75,none,running
conveyor,4.38,15.01,81.61,0.63,523.87,6.88,jam,fault
conveyor,0.89,11.5,45.21,0.54,225.13,5.05,belt_slip,warning
conveyor,1.38,4.98,36.36,1.46,220.45,3.87,none,running
conveyor,1.05,7.6,57.48,1,154.79,6.5,belt_slip,warning
conveyor,1.96,13.41,78.57,1.56,305.11,4.66,gearbox_overheating,warning
conveyor,0.61,7.12,39.5,1.52,291.86,3.09,none,warning
conveyor,2.24,10.95,54.82,0.46,254.08,1.91,belt_slip,warning
conveyor,0.71,14.46,88.22,1.44,313.93,6.93,gearbox_overheating,fault
conveyor,3.39,14.79,74.15,0.24,476.73,4.7,jam,fault
conveyor,1.44,7.29,40.66,1.43,186.85,3.4,none,running
conveyor,5.99,19.93,83.17,0.17,398.07,8.91,jam,fault
conveyor,4.32,21.86,90.82,0.53,372.74,10.06,jam,fault
conveyor,2.05,8.75,63.71,1.66,169.41,6.93,gearbox_overheating,warning
conveyor,1.39,10.48,62.48,1.06,177.1,13.37,belt_misalignment,fault
conveyor,0.7,6.03,46.85,1.39,247.22,1.04,none,running
conveyor,2.67,11.32,58.6,1,209.59,2.58,belt_slip,warning
conveyor,1.96,13.68,71.96,0.92,365.08,7.31,overload,warning
conveyor,1.34,16.01,57.64,1.25,301.22,2.7,overload,fault
conveyor,2.92,12.92,63.54,0.65,107.19,5.56,belt_slip,warning
conveyor,1.97,21.1,64.86,0,456.46,11.58,belt_misalignment,fault
conveyor,3.08,11.94,54.04,0.79,330.65,7.09,overload,warning
conveyor,3.14,9.25,72.21,1.44,147.71,2.89,gearbox_overheating,warning
conveyor,2.38,10.48,90.79,1.34,242.93,4.68,gearbox_overheating,fault
conveyor,2.48,7.49,57.38,0.93,134,4.6,belt_slip,warning
conveyor,0.8,7.07,37.62,1.71,188.31,1.46,none,running
conveyor,2.55,6.79,53.22,1.5,272.3,1.48,roller_bearing_failure,warning
conveyor,2.24,13.41,73.61,0.3,503.7,10.01,jam,fault
conveyor,4.95,8.52,51.19,1.3,222.15,3.56,roller_bearing_failure,fault
conveyor,0.77,5.97,48.34,1.47,298.53,1.48,none,warning
conveyor,3.04,7.83,88.01,1.51,390.02,3.42,gearbox_overheating,fault
conveyor,5.68,15.94,60.69,0.56,390.38,5.52,jam,fault
conveyor,0.87,7.62,39.09,1.53,207.37,4.56,none,running
conveyor,4.28,9.12,49.95,1.75,247.76,6.62,roller_bearing_failure,fault
conveyor,2.83,19.88,71.83,0.6,523.58,3.92,jam,fault
conveyor,2.46,8.82,63.15,1.33,191.68,6.62,gearbox_overheating,warning
conveyor,1.78,7.99,55.81,1.45,175.64,5.17,roller_bearing_failure,running
conveyor,4.06,8.6,65.35,1.14,177.94,8.3,belt_misalignment,fault
conveyor,0.46,6.9,38.6,1.44,183.93,2.76,none,running
conveyor,5.3,18.07,58.23,0.22,494.12,4.7,none,fault
conveyor,2.27,17.72,94.49,0.2,326.24,11.41,jam,fault
conveyor,1.56,10.3,100.98,1.25,190.56,3,gearbox_overheating,fault
conveyor,1.77,6.88,49.02,1.6,182.23,9.58,belt_misalignment,warning
conveyor,4.8,9.4,55.27,1.23,174.17,3.22,roller_bearing_failure,fault
conveyor,3.42,7.76,61.01,1.14,253,14.4,belt_misalignment,fault
conveyor,1.67,13.54,58.95,1.12,379.81,2.74,overload,warning
conveyor,0.45,9.85,52.44,0.92,187.19,3.8,belt_slip,running
conveyor,2.13,12.7,44.02,0.71,165.24,2.83,belt_slip,warning
conveyor,2.9,7.09,42.55,1.29,224.83,1.37,roller_bearing_failure,warning
conveyor,1.09,5.64,51.06,1.27,166.75,4.12,none,running
conveyor,0.88,5.7,42.11,1.51,232.61,3.3,none,running
conveyor,1.96,9.95,62.03,1.34,388.43,7.58,overload,fault
conveyor,1.9,8.58,60.8,1.6,204.59,1.3,roller_bearing_failure,running
conveyor,1.64,21.25,64.47,0.29,418.03,7.85,jam,fault
conveyor,1.8,6.91,46.1,1.36,227.59,2.71,roller_bearing_failure,running
conveyor,1.52,17.77,66.97,0.4,351.56,9.29,jam,fault
conveyor,1.67,5.79,49.26,1.27,180.04,4.33,roller_bearing_failure,running
conveyor,1.28,8.84,104.47,1.57,241.95,4.97,gearbox_overheating,fault
conveyor,1.98,10.32,62.97,1.14,260.46,7.71,belt_slip,warning
conveyor,2.01,10.82,58.39,1.48,323.79,10.6,belt_misalignment,fault
conveyor,0.72,11.48,47.47,1.1,209.01,5.98,belt_slip,warning
conveyor,0.2,7.13,38.43,1.42,263.85,2.59,none,running
conveyor,3.54,7.48,69.71,1.24,164.16,5.41,roller_bearing_failure,warning
conveyor,1.48,15.5,71.26,0.98,434.06,3.72,overload,fault
conveyor,4.21,17.19,63.09,0.57,437.28,6.14,jam,fault
conveyor,2.01,16.43,73.91,0.39,650,7.19,jam,fault
conveyor,0.96,7.26,44.84,1.48,169.29,4.56,none,running
conveyor,1.54,5.43,58.24,1.25,230.5,2.89,roller_bearing_failure,running
conveyor,0.46,7.51,39.68,1.64,248.74,0.64,none,running
conveyor,2.83,8.53,51.81,0.41,128.46,3.6,belt_slip,warning
conveyor,3.07,7.54,47.46,1.65,156.45,4.07,roller_bearing_failure,warning
conveyor,2.57,19.07,86.89,0.09,540.95,7.49,jam,fault
conveyor,3.53,8.48,57.14,1.16,213.73,7.96,belt_misalignment,warning
conveyor,1.88,9.48,53.16,1.26,387.82,5.07,overload,fault
conveyor,1.91,21.57,76.67,0.06,513.91,4.18,jam,fault
conveyor,3.42,8.96,43.39,1.47,259.9,11.77,belt_misalignment,fault
conveyor,4.98,8.38,51.27,1.45,291.13,3.58,roller_bearing_failure,fault
conveyor,2.48,12.61,77.88,1.21,303.08,5.98,gearbox_overheating,warning
conveyor,2.55,6.57,56.4,0.69,153.63,3.62,belt_slip,warning
conveyor,4.88,7.24,44.7,1.32,151.87,5.14,roller_bearing_failure,fault
conveyor,3.46,7.49,55.61,1.3,244.03,5.36,roller_bearing_failure,warning
conveyor,1.76,10.15,85.99,1.33,219.83,5.81,gearbox_overheating,fault
conveyor,1.09,6.04,50.5,1.38,147.2,3.08,none,running
conveyor,0.96,7.56,44.77,1.62,294.83,4.35,none,warning
conveyor,3.5,16.01,94.51,0.19,531.88,3.9,jam,fault
conveyor,1.15,7.05,46.21,1.43,187.78,3.54,none,running
conveyor,1.27,5.64,48.01,1.47,180.36,1,none,running
conveyor,3.76,14.41,92.89,1.66,283.83,4.71,gearbox_overheating,fault
conveyor,3.5,16.68,87.98,0.44,600.31,5.48,jam,fault
conveyor,3.22,13.73,68.53,0.43,490.77,10.63,jam,fault
conveyor,0.84,6.89,49.68,1.43,170.14,2.61,none,running
conveyor,1.38,9.81,62.04,0.99,243.35,5.79,belt_slip,running
conveyor,2.41,8.1,54.07,1.38,161.82,5.55,roller_bearing_failure,warning
conveyor,1.22,6.19,42.45,1.61,175.81,3.02,none,running
conveyor,1.26,10.87,46.74,0.78,243.98,5.46,belt_slip,warning
conveyor,1.09,6.43,44.36,1.62,146.66,2.73,none,running
conveyor,3.83,20.37,81.43,0.03,415.68,8.37,belt_misalignment,fault
conveyor,1.32,6.27,49.09,1.4,172.63,13.64,belt_misalignment,fault
conveyor,1.65,11.74,70.7,1.43,176.38,3.16,gearbox_overheating,warning
conveyor,1.33,7.21,45.77,1.36,138.74,3.49,none,running
conveyor,4.37,8.04,50.18,1.55,196.29,4.62,roller_bearing_failure,fault
conveyor,1.86,9.77,55.58,1.28,200.88,12.49,belt_misalignment,fault
conveyor,0.95,7.33,55.82,1.29,286.33,2.95,overload,warning
conveyor,1.68,10.6,73.22,1.3,421.47,5.3,overload,fault
conveyor,2.55,14.28,67.59,0.41,650,8.55,jam,fault
conveyor,1.02,8.09,48.61,1.59,209.26,3.08,none,running
conveyor,3.73,20.7,87.65,0.41,650,7.28,jam,fault
conveyor,2.69,13.53,101.37,1.43,227.85,4.19,gearbox_overheating,fault
conveyor,4.56,16.75,54.96,0.18,650,9.92,jam,fault
conveyor,2.93,8.31,87.34,1.38,222.75,4.11,gearbox_overheating,fault
conveyor,1.61,8.09,65.03,0.78,166.7,7.67,belt_slip,warning
conveyor,2.18,7.1,49.96,0.8,251.02,7.34,belt_slip,warning
conveyor,2.17,19.57,47.49,1.41,536.72,4.88,overload,fault
conveyor,0.85,11.78,63.37,1.64,217.48,5.14,gearbox_overheating,warning
conveyor,1.38,14.22,48.93,1.01,459.97,4.11,overload,fault
conveyor,3.05,12.74,43.41,0.76,128.61,3.41,belt_slip,warning
conveyor,1.01,7.07,41.11,1.56,133.04,3.37,none,running
conveyor,2.33,6.64,59.04,1.49,162.92,5.53,roller_bearing_failure,warning
conveyor,0.74,5.9,48.17,1.61,159.83,3.16,none,running
conveyor,1.31,10.21,71.65,0.85,376.48,2.01,overload,warning
conveyor,0.69,7.58,45.94,1.48,308.26,1.35,none,warning
conveyor,4.01,16.64,80.78,0.56,434.53,4.09,jam,fault
conveyor,5.21,13.37,55.45,0.08,486.56,4.37,jam,fault
conveyor,4.15,15.7,93.82,0.49,388.85,5.67,jam,fault
conveyor,3.22,13.96,56.09,1.39,232.51,6.89,overload,warning
conveyor,2.02,10.03,108.13,1.34,200.09,3.73,gearbox_overheating,fault
conveyor,4.82,12.18,74.4,0.51,474.16,10.69,jam,fault
conveyor,1.23,6.53,48.72,1.46,193.15,1.91,none,running
conveyor,0.76,7.39,39.58,1.65,143.75,4.46,none,running
conveyor,3.43,7.87,48.01,1.42,303.97,6.77,roller_bearing_failure,warning
conveyor,1.63,7.81,102.91,1.48,308.36,1.34,gearbox_overheating,fault
conveyor,1.98,7.38,52.96,1.55,218.6,2.41,roller_bearing_failure,running
conveyor,0.45,8.54,68.34,1.37,336.66,7.3,overload,warning
conveyor,4.31,16.49,62.92,0.79,602.13,11.51,jam,fault
conveyor,2.13,8.7,78.72,1.51,221.79,3.66,gearbox_overheating,warning
conveyor,3.7,9.39,47.61,1.56,228.5,1.85,roller_bearing_failure,warning
conveyor,2.34,17.79,94.23,0.03,407.26,3.57,jam,fault
conveyor,1.91,17.15,64.98,0.87,325.51,6.49,overload,fault
conveyor,2.17,10.89,60.76,1.46,183.28,5.76,gearbox_overheating,warning
conveyor,0.88,5.42,42.79,1.72,249.7,2.38,none,running
conveyor,3.65,7.33,48.62,1.37,341.34,3.21,roller_bearing_failure,warning
conveyor,2.13,7.3,53.12,1.6,217.41,3.81,roller_bearing_failure,warning
conveyor,1.11,11.9,45.45,1.11,139.13,6.28,belt_slip,warning
conveyor,4.97,8.43,52.96,1.45,182.07,1.87,roller_bearing_failure,fault
conveyor,1.27,10.44,50.28,1.61,247.72,8.51,belt_misalignment,warning
conveyor,2.96,16.71,70.29,0.33,483.12,4.94,jam,fault
conveyor,2.34,9.82,52.93,1.17,193.52,7.21,belt_misalignment,warning
conveyor,2.55,19.09,73.26,0.22,454.35,12.35,jam,fault
conveyor,3.35,13.39,74.22,0.42,529.23,8.24,jam,fault
conveyor,1.04,6.41,42.64,1.51,191.6,2.14,none,running
conveyor,1.64,14.54,100.73,1.26,260.95,3.95,gearbox_overheating,fault
conveyor,3.09,10.29,46.28,1.25,269.38,12.8,belt_misalignment,fault
conveyor,1.65,20.33,57.65,0.9,464.76,4.26,overload,fault
conveyor,0.86,8.8,101.5,1.25,176.01,4.06,gearbox_overheating,fault
conveyor,4.04,17.18,76.06,0.55,583.62,11.98,jam,fault
conveyor,0.96,9.03,62.29,0.89,126.97,3.76,belt_slip,running
conveyor,3.56,5.59,48.46,1.32,274.54,5.59,roller_bearing_failure,warning
conveyor,2.02,7.2,41.8,1.31,235.82,4.42,roller_bearing_failure,warning
conveyor,2.31,7.29,59.48,1.22,218.91,3.1,roller_bearing_failure,warning
conveyor,1.84,6.6,62.07,1.16,239.62,6.34,belt_misalignment,warning
conveyor,1.45,10.16,77.12,1.01,428.26,5.85,overload,fault
conveyor,0.82,7.4,47.38,1.44,275.41,2.84,none,running
conveyor,1.03,10.92,55.79,1.12,243,15.61,belt_misalignment,fault
conveyor,3.16,10.21,60.63,1.15,259.31,7.59,belt_misalignment,warning
conveyor,3.84,7.85,42.86,1.5,222.5,4.5,roller_bearing_failure,warning
conveyor,4.78,21.52,70.78,0.51,390.37,9.96,jam,fault
conveyor,5.13,7.1,40.86,1.32,266.84,1.88,roller_bearing_failure,fault
conveyor,5.55,16.27,80.42,0.08,383.41,7.66,jam,fault
conveyor,2.95,7.68,65.02,1.32,164.5,9.22,belt_misalignment,warning
conveyor,4.95,17.29,65.05,0.71,650,3.32,jam,fault
conveyor,1.8,9.15,56.23,1.51,286.94,5.79,belt_misalignment,warning
conveyor,0.77,13.76,64.21,1.07,275.83,3.41,overload,warning
conveyor,3.22,8.64,62.86,1.06,154.18,7.55,belt_slip,warning
conveyor,0.86,5.67,48.13,1.61,242.24,4.36,none,running
conveyor,1.45,10.26,66.23,1.1,237.24,3.92,belt_slip,warning
conveyor,1.93,12.9,59.3,0.51,162.72,5.53,belt_slip,warning
conveyor,1.58,11.37,55.64,0.43,227.42,7.93,belt_slip,warning
conveyor,1.24,7.17,43.35,1.53,181.5,3.73,none,running
conveyor,1.28,13.54,65.7,1.59,338.67,5.07,gearbox_overheating,warning
conveyor,3.01,14.68,87.1,0.33,405.36,3.34,jam,fault
conveyor,1.79,9.87,65.67,1.12,189.96,7.72,belt_misalignment,warning
conveyor,0.83,7.44,58.54,1.11,120.55,7.49,belt_slip,warning
conveyor,1.38,10.36,60.15,1.05,191.89,5.21,belt_slip,warning
conveyor,2.06,19.38,70.47,0.36,622.99,9.76,jam,fault
conveyor,2.72,8.99,76.91,1.19,297.32,2.65,gearbox_overheating,warning
conveyor,1.61,6.97,53.61,1.59,297.65,4.5,roller_bearing_failure,warning
conveyor,1.14,6.99,43.1,1.45,124.36,1.69,none,running
conveyor,4.84,19.83,62.98,0.16,516.72,5.2,jam,fault
conveyor,2.23,8.1,56.68,1.41,274.38,10.43,belt_misalignment,fault
conveyor,2.45,13.84,86.95,1.49,202.1,3.62,gearbox_overheating,fault
conveyor,1.99,8.01,49.19,1.43,339.65,2.46,roller_bearing_failure,warning
conveyor,3.07,9.77,54.84,1.36,275.18,12.71,belt_misalignment,fault
conveyor,3.09,7.49,48.45,0.99,241.74,5.74,overload,warning
conveyor,2.14,9.79,62.62,1.58,313.97,8.7,belt_misalignment,warning
conveyor,4.5,6.3,44.96,1.32,203.89,4,roller_bearing_failure,fault
conveyor,6.09,17,79.28,0.39,400.44,10.51,jam,fault
conveyor,4.9,8.49,51.78,1.27,209.15,5.31,roller_bearing_failure,fault
conveyor,0.99,7.84,56.91,0.66,226.99,1.94,belt_slip,running
conveyor,2.08,9.1,58.85,1.42,193.76,5.67,belt_misalignment,warning
conveyor,2.23,8.17,49.95,1.24,229.94,13.95,belt_misalignment,fault
conveyor,0.84,7.54,47.92,1.64,276.21,3.18,none,running
conveyor,0.84,6.06,41.86,1.59,160.58,1.9,none,running
conveyor,2.92,18.69,68.02,0.12,353.13,4.84,jam,fault
conveyor,3.05,15.7,65.19,0.85,346.69,4.87,overload,fault
conveyor,4.15,13.91,59.61,0.34,502.61,5.41,belt_slip,fault
conveyor,1.12,5.3,42.56,1.56,275.42,4.86,none,running
conveyor,5.81,15.09,90.39,0.27,387.24,4.1,jam,fault
conveyor,1.93,7.79,57.87,0.63,279.42,2.48,belt_slip,running
conveyor,0.84,7.8,61.34,1.25,232.52,11.83,belt_misalignment,fault
conveyor,1.68,8.49,56.97,0.84,317.67,6.07,overload,warning
conveyor,3.45,8.83,59.51,1.35,160.61,3.12,roller_bearing_failure,warning
conveyor,2.9,7.88,75.22,1.57,321.41,4.99,gearbox_overheating,warning
conveyor,1.82,8.34,43.74,1.09,271.28,10.1,belt_misalignment,fault
conveyor,1.86,9.71,99.3,1.39,367.84,4.08,gearbox_overheating,fault
conveyor,5.15,14.82,91.51,0.28,338.49,11.95,jam,fault
conveyor,3.18,7.25,44.22,1.56,315.46,10.2,belt_misalignment,fault
conveyor,3.93,8.2,48.9,1.7,203.88,3.07,roller_bearing_failure,warning
conveyor,1.4,7,36.41,1.43,233.26,2.3,none,running
conveyor,3.93,8.73,47.93,1.35,155.36,5.78,roller_bearing_failure,warning
conveyor,2.68,8.78,51.21,1.16,150.39,9.54,belt_misalignment,warning
conveyor,1.16,12.91,53.92,1.02,512.73,4.99,overload,fault
conveyor,2.68,7.31,53.91,1.32,207.55,8.79,belt_misalignment,warning
conveyor,1.99,10.4,52.83,1.28,264.51,6.35,belt_misalignment,warning
conveyor,3.78,17.16,83.65,0.59,571.68,5.24,jam,fault
conveyor,2.2,11.36,58.21,1.24,346.6,7.37,overload,warning
conveyor,2.47,6.21,62.09,1.23,243.82,11.26,belt_misalignment,fault
conveyor,2.13,10.07,57.93,1.04,176.64,3.56,belt_slip,warning
conveyor,2.5,13.08,105.38,1.38,206.58,3.66,gearbox_overheating,fault
conveyor,3.66,8.38,47.5,1.65,249.49,4.39,roller_bearing_failure,warning
conveyor,3.13,10.67,40.66,1.09,233.1,8.9,belt_misalignment,warning
conveyor,3.7,9.1,43.88,1.15,215.85,13.73,belt_misalignment,fault
conveyor,1.35,7.27,80.02,1.29,340.84,3.06,gearbox_overheating,fault
conveyor,2.1,6.88,63.24,1.59,244.61,7.31,belt_misalignment,warning
conveyor,1.62,7.88,54.4,1.44,364.51,5.3,overload,warning
conveyor,1.74,12.2,60.41,0.83,450.04,3.6,overload,fault
conveyor,0.71,9.96,76.26,1.47,298.98,5.18,gearbox_overheating,warning
conveyor,3.5,8.82,58.99,1.51,150.64,13.22,belt_misalignment,fault
conveyor,1.71,10.61,64.67,1.11,180,3.73,belt_slip,warning
conveyor,2.9,10.82,56.5,0.97,282.58,7.62,belt_slip,warning
conveyor,4.79,6.53,44.77,1.6,173.08,4.7,roller_bearing_failure,fault
conveyor,1.29,6.8,40.15,1.47,165.16,3.77,none,running
conveyor,3.2,8.09,56.89,1.58,261.79,2.18,roller_bearing_failure,warning
conveyor,1.66,13.02,73.43,0.98,470.7,4.39,overload,fault
conveyor,2.71,8.62,50.44,0.9,275.68,6.15,belt_slip,warning
conveyor,1.89,6.49,45.08,1.49,215.36,7.14,belt_misalignment,warning
conveyor,1.62,10.73,54.28,1.58,160.26,14.53,belt_misalignment,fault
conveyor,1.04,5.07,40.77,1.64,183.63,0.6,none,running
conveyor,2.53,9.36,52.68,0.89,229.93,4.41,belt_slip,warning
conveyor,1.82,8.47,60.99,1.18,202.02,3.43,roller_bearing_failure,running
conveyor,2.78,5.95,48.89,1.67,207.53,4.68,roller_bearing_failure,warning
conveyor,1.61,8.29,58.81,0.69,247.48,4.79,belt_slip,running
conveyor,2.63,6.77,64.33,0.52,169.98,5.15,belt_slip,warning
conveyor,5.78,17.25,66.43,0,529.44,10.55,jam,fault
conveyor,0.76,12.05,44.46,0.52,231.66,3.18,belt_slip,warning
conveyor,3.47,6.17,52.89,1.06,282.1,8.38,belt_misalignment,warning
conveyor,5.6,14.27,93.79,0.19,357.68,3.3,jam,fault
conveyor,2.53,9.7,46.25,1.28,195.66,9.25,belt_misalignment,warning
conveyor,3.08,12.68,75.18,0.97,491.95,6.53,overload,fault
conveyor,2.27,11.91,92.4,1.23,287.31,2.59,gearbox_overheating,fault
conveyor,0.86,6.71,41.94,1.4,122.61,3.99,none,running
conveyor,1.36,9.29,96.32,1.37,304.92,2.09,gearbox_overheating,fault
conveyor,2.6,8.35,48.75,1.32,330.28,3.32,overload,warning
conveyor,3.05,6.2,46.46,1.27,237.29,6.27,belt_misalignment,warning
conveyor,4.87,18.52,94.1,0.2,646.01,5.37,jam,fault
conveyor,1.12,5.65,49.86,1.43,164.34,3.83,none,running
conveyor,5.29,17.33,85.49,0.6,455.45,6.19,jam,fault
conveyor,4.95,19.34,68.19,0.22,486.42,4.08,jam,fault
conveyor,1.44,13.45,59.85,0.51,223.23,2.26,belt_slip,warning
conveyor,2.26,8.56,64.31,1.53,262.83,4.24,gearbox_overheating,warning
conveyor,2.16,7.93,58.82,0.99,147.46,4.74,belt_slip,warning
conveyor,1.65,12.46,59.36,0.44,178.79,3.84,belt_slip,warning
conveyor,4.36,21.39,55.76,0.29,552.3,3.44,jam,fault
conveyor,2.32,9.61,48.86,1.64,140.03,5.03,roller_bearing_failure,warning
conveyor,3.79,20.13,81.35,0.5,474.71,4.24,jam,fault
conveyor,0.68,9.88,52.04,1.23,282.46,8.56,belt_misalignment,warning
conveyor,1.77,8.96,71.51,1.3,405.51,3.68,gearbox_overheating,fault
conveyor,2.21,11.2,54.73,0.57,145.8,3.35,belt_slip,warning
conveyor,0.7,5.74,44.77,1.29,221.4,2.22,none,running
conveyor,3.06,7.21,61.53,1.54,232.26,3.72,roller_bearing_failure,warning
conveyor,1.85,11.98,91.84,1.62,232.46,5.35,gearbox_overheating,fault
conveyor,2.38,12.46,81.64,0.64,442.89,12.03,gearbox_overheating,fault
conveyor,1.23,11.69,51.1,1.29,424.93,4.52,overload,fault
conveyor,1.72,7.48,66.12,1.52,206.37,7.64,belt_misalignment,warning
conveyor,1.75,6.47,58.09,1.51,168.71,4.03,roller_bearing_failure,running
conveyor,2.25,9.37,85.05,1.57,291,4.31,gearbox_overheating,fault
conveyor,2.36,11.79,44.58,0.68,339.11,2.43,belt_slip,warning
conveyor,1.05,8.32,62.65,1.17,250.37,6.89,belt_misalignment,warning
conveyor,2.02,7.5,61.11,1.06,193.98,4.09,belt_slip,warning
conveyor,4.29,22.08,58.61,0.16,418.64,4.02,jam,fault
conveyor,0.9,5.64,55.76,1.03,282.78,4.34,overload,warning
conveyor,3.68,14.11,61.4,0.2,376.48,5.57,jam,fault
conveyor,4.89,20.72,69.65,0.6,650,7.38,jam,fault
conveyor,2.68,13.96,92.33,1.38,280.36,5.07,gearbox_overheating,fault
conveyor,1.95,10.22,47,1.39,118.18,8.18,belt_misalignment,warning
conveyor,0.82,5.5,48.77,1.57,128.49,3.33,none,running
conveyor,1.1,13.42,65.78,1.22,470.26,2.31,overload,fault
conveyor,3.38,13.04,42.19,0.97,208.93,5.76,belt_slip,warning
conveyor,0.79,7.04,38.79,1.64,230.54,3.01,none,running
conveyor,1.93,11.8,107.12,1.45,208,4.12,gearbox_overheating,fault
conveyor,1.79,11,72.66,1.09,451.02,2.25,overload,fault
conveyor,2.24,18.2,79.26,0.07,551.36,5.28,jam,fault
conveyor,3.5,6.79,45.56,1.3,194.77,2.72,roller_bearing_failure,warning
conveyor,2.64,8.01,62.27,1.52,262.74,12.15,belt_misalignment,fault
conveyor,3.65,6.8,91.09,1.54,189.29,4.05,gearbox_overheating,fault
conveyor,2.34,13.78,62,1.35,220.7,5.93,gearbox_overheating,warning
conveyor,2.38,21,75.94,0.6,319.35,6.73,jam,fault
conveyor,2.96,8.99,58.07,1.32,137.66,12.3,belt_misalignment,fault
conveyor,1.76,7.08,62.15,1.05,123.01,2.47,belt_slip,running
conveyor,2.4,18.14,85.08,0.34,485.45,2.86,jam,fault
conveyor,5.39,15.82,90.39,0.41,392.96,4.86,jam,fault
conveyor,3.48,7.81,53.85,1.38,218.56,4.71,roller_bearing_failure,warning
conveyor,2.36,7.52,56.89,0.5,271.59,7.36,belt_slip,warning
conveyor,2.55,16.96,60.94,0.48,441.76,7.61,jam,fault
conveyor,1.74,8.22,45.11,1.27,164.06,6.4,roller_bearing_failure,warning
conveyor,3.27,7.22,47.52,1.54,287.18,6.03,roller_bearing_failure,warning
conveyor,1.86,14.16,80.73,1.37,235.9,2.34,gearbox_overheating,fault
conveyor,0.75,6.44,46.48,1.45,221.7,0.97,none,running
conveyor,5.62,7.36,49.78,1.44,234.57,2.99,roller_bearing_failure,fault
conveyor,2.17,9.18,67.43,1.46,391.15,2.75,gearbox_overheating,fault
conveyor,2.6,12.79,58.48,0.58,187.39,7.68,belt_slip,warning
conveyor,0.9,6.47,40.67,1.35,129.99,1.75,none,running
conveyor,2.97,9.45,46.33,1.46,314.37,10.49,belt_misalignment,fault
conveyor,2.06,7.63,50.69,1.29,266.74,14.72,belt_misalignment,fault
conveyor,0.74,8.03,55.69,0.84,226.02,4.28,belt_slip,running
conveyor,1,5.73,45.98,1.5,180.14,2.55,none,running
conveyor,2.87,11.41,79.03,1.37,396.52,2.22,overload,fault
conveyor,1.91,12.66,51.6,0.48,251.03,3.39,belt_slip,warning
conveyor,3.98,18.85,94.45,0.36,411.83,8.93,jam,fault
conveyor,5.68,12.51,83.77,0.28,429.29,6.23,jam,fault
conveyor,2.26,15.35,66.29,0.83,499.77,5.76,overload,fault
conveyor,1.19,7.05,52.36,1.62,238.97,3.56,none,running
conveyor,1.81,11.43,71.25,1.62,389.07,4.59,gearbox_overheating,fault
conveyor,1.61,11.97,56.54,1.14,392.63,3.23,overload,fault
conveyor,1.04,11.41,50.19,0.89,218.36,3.88,belt_slip,warning
conveyor,2.08,11.82,65.86,0.67,210.18,7.94,belt_slip,warning
conveyor,1.82,13.71,55.86,0.85,183.4,7.14,belt_slip,warning
conveyor,1.03,8.35,72.7,1.65,301.78,4.03,gearbox_overheating,warning
conveyor,2.97,13.88,97.16,1.25,329.54,2.08,gearbox_overheating,fault
conveyor,1.7,17.82,93.98,0.29,465.74,9.83,jam,fault
conveyor,2.47,20.44,68.94,0,433.82,4.1,jam,fault
conveyor,3.11,4.92,47.38,1.57,329.6,3.22,roller_bearing_failure,warning
conveyor,2.25,14.36,50.55,1.12,211.12,5.22,overload,fault
conveyor,2.25,8.56,72.34,1.32,291.8,2.54,overload,warning
conveyor,0.55,6.96,50.87,1.52,239.22,11.57,belt_misalignment,fault
conveyor,1.43,7.86,39.18,1.61,163.89,1.8,none,running
conveyor,3.11,9.25,49.84,1.3,161.75,1.87,roller_bearing_failure,warning
conveyor,2.68,11.74,59.96,0.54,316.5,7.03,belt_slip,warning
conveyor,1.24,12.17,69.24,1.43,170.01,4.44,gearbox_overheating,warning
conveyor,0.83,5.24,51.63,1.4,137.06,0.49,none,running
conveyor,4.77,20.9,79.26,0.44,387.84,7.9,jam,fault
conveyor,0.91,6.76,44.98,1.53,213.61,1.55,none,running
conveyor,2.93,11.85,53.6,1.14,444.57,6.68,overload,fault
conveyor,2.89,11.31,44.1,0.88,192.81,1.78,belt_slip,warning
conveyor,3.93,12.85,60.79,0.44,278.01,5.44,jam,warning
conveyor,1.41,9.04,62.18,1.3,185.43,11,belt_misalignment,fault
conveyor,2.16,13.63,46.46,0.64,285.09,3.86,belt_slip,warning
conveyor,1.19,11.16,87.79,1.34,309.07,4.77,gearbox_overheating,fault
conveyor,1.65,7.5,65.59,0.67,275.07,5.87,belt_slip,warning
conveyor,1.51,10.93,59.7,0.75,394.33,3.46,overload,fault
conveyor,1.6,13.81,94.02,1.18,204.68,2.96,gearbox_overheating,fault
conveyor,2.7,20.13,87.7,0.52,561.12,7.76,jam,fault
conveyor,2.65,13.94,50.97,1.38,507.91,3.25,overload,fault
conveyor,1.02,13.09,68.26,1.33,338.97,4.51,overload,warning
conveyor,1.97,9.99,62.66,1.2,155.21,5.75,belt_misalignment,running
conveyor,2.53,12.34,67.9,0.12,530.34,6.76,jam,fault
conveyor,3.33,8.92,54.37,1.65,227.02,3.11,roller_bearing_failure,warning
conveyor,3.6,7.84,53.62,1.34,147.25,14.41,belt_misalignment,fault
conveyor,3.11,10.25,47.63,1.48,165.25,8.44,belt_misalignment,warning
